Drehzahl;Kurbelwinkel;P_ZYL1;P_ZYL2;P_ZYL3;Drehmoment;Absolutverbrauch;Angesaugte Luftmasse;O2 roh;CO roh;CO2 roh;NOx roh;HC3 roh;Lambda;Temp Kühlm.E;Temp Kühlm.A;Temp Oel;Temp Ansaugl. nach Verd.;Temp Ansaugluft Saugrohr;Temp Abgas vor Turbine;P Saugrohr;P Abg. vor Turb.;ZZP
1600;-298;1.147;1.117;1.026;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-297;1.148;1.115;1.03;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-296;1.149;1.116;1.021;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-295;1.149;1.115;1.032;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-294;1.15;1.116;1.02;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-293;1.148;1.114;1.025;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-292;1.155;1.113;1.022;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-291;1.155;1.11;1.023;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-290;1.153;1.115;1.028;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-289;1.157;1.109;1.021;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-288;1.159;1.11;1.028;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-287;1.155;1.107;1.016;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-286;1.162;1.112;1.024;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-285;1.163;1.105;1.019;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-284;1.162;1.109;1.021;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-283;1.162;1.106;1.02;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-282;1.164;1.105;1.016;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-281;1.162;1.105;1.022;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-280;1.162;1.103;1.018;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-279;1.166;1.107;1.024;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-278;1.163;1.1;1.02;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
